Yr Period Power Span Length Weight Speed Range
34 1 1416 20.1 17.9 8526 385 1500
34 1 596 19.66 14.05 4649 228 974
34 1 298 14.63 10.5 2495 212 933
34 1 596 11.8 7.44 1860 370 750
34 1 1490 18 15.8 8836 423 3000
34 1 894 23.7 19.25 10000 260 5350
34 1 514 13.87 11.07 4196 224 1658
34 1 421 13.7 11.7 3452 206 800
34 1 477 11.35 9.02 2403 301 692
34 1 864 22 14 5443 246 877
34 1 1356 22.8 18.9 10200 334 1100
34 1 521.5 10.7 14 3651 225 2027
34 1 596 16.76 11.76 4763 325 1416
34 1 596 11.8 7.76 2100 368 860
34 1 656 22.5 15 5750 275 2600
34 1 432 11.4 9.3 2610 310 925
34 1 507 13.95 9.68 3526 319 1250
34 1 2236 36 20.73 19050 302 1930
34 1 1192 24.5 18.2 9700 310 1300
34 1 1029 21.2 15.4 6700 280 1350
34 1 1527.7 11.23 9.96 3851 721 1368
34 1 484.4 14.94 11.48 3674 229 1006
34 1 783 22.61 17 6350 251 1000
35 1 149 17.6 13.7 3500 287 560
35 1 671 15.24 10.67 4623 332 1152
35 1 1788 31.7 19.5 16066 282 3782
35 1 480.7 9.99 7.98 1792 370 740
35 1 484.4 8.69 6.53 1701 381 1396
35 1 857 22.86 17.68 7598 228 1480
35 1 1371.2 17.2 13 6532 428 2350
35 1 2012 22.6 16.4 14000 435 1950
35 1 656 10.5 8.33 2217 341 860
35 1 1043.3 13.8 11.5 6585 410 1000
35 1 537 19.7 14.4 3950 208 1000
35 1 745.2 12.1 9.6 2950 430 1100
35 1 633.4 9.55 7.2 1650 400 1000
35 1 1296.6 25.5 17.54 9380 250 1500
35 1 522 12 8.7 2230 355 1100
35 1 1294.5 9.92 8.84 3414 621 536
35 1 529 11 7.56 1670 440 1200
35 1 1677 26.5 19.2 12400 364 2745
35 1 745.2 25 16.45 8000 368 2600
35 1 1296.6 22.45 17.32 7500 325 1000
35 1 782.5 11.36 8.77 2726 483 1330
35 1 1296.6 24 17.8 9300 340 2000
35 1 97 9.73 7.6 907 169 1002
35 1 708 10.36 8.37 2838 378 1376
35 1 507 14.15 10.41 2608 254 1802
36 2 1636 28.96 19.63 12701 274 1650
36 2 762.5 16.46 12.9 4895 388 1090
36 2 1490 21.56 16.17 10100 430 3000
36 2 179 14.25 9.9 1326 175 695
36 2 3189.6 40 25.63 21500 340 4100
36 2 636 15.5 12.56 4800 290 2200
36 2 2474 39.62 27.62 23587 262 5150
36 2 1099 16.26 13 10024 550 900
36 2 1603 25.6 22.1 12790 367 2414
36 2 611 15.5 9.7 3500 290 1000
36 2 1368 17.93 12.92 8900 445 1500
36 2 3010.4 34.75 26.84 19732 311 1245
36 2 1342 18.8 13.7 9600 440 2000
36 2 1430 20.32 12.27 6500 450 1500
37 2 745.2 10.5 9.1 2800 509 600
37 2 626 10.9 7.8 2706 472 1000
37 2 2802 33 23.8 22700 384 4440
37 2 529 16.3 10.6 3447 293 885
37 2 484.4 12 9.2 2250 320 830
37 2 3576 35.1 24.2 30344 343 1720
37 2 618.5 9.83 8.36 2155 402 660
37 2 1378.6 26.95 25.04 10432 322 2486
37 2 555 9.14 8.15 1642 359 427
37 2 883 12.19 9.75 3742 538 740
37 2 1640 21.39 14.3 10050 425 4000
37 2 663 14.1 10.8 3732 301 700
37 2 708 15 11.64 3762 423 1350
37 2 1490.4 15.6 10.8 6750 490 1640
37 2 1699 22.52 17.17 11398 480 1675
37 2 670.6 14.5 10.4 3561 346 1126
37 2 1118 19.96 13.47 7938 393 3315
37 2 626 10.58 8.19 2328 503 870
37 2 2626.8 24.8 18.5 13621 456 1795
37 2 760 15.5 10.3 4100 380 980
37 2 529 11.3 7.53 1790 460 545
37 2 801 14.4 10.2 3800 428 1561
37 2 894 10.7 8 3247 517 1610
37 2 689.3 22.73 11.96 5035 367 4168
38 2 1699 17.9 12.2 7160 530 2000
38 2 4768 46.3 32.3 38102 320 8369
38 2 2608 19 17 16700 560 2500
38 2 670.6 18.4 12 3950 344 690
38 2 3576 31.6 22.7 29710 462 3219
38 2 663 14 10.8 3606 217 1303
38 2 671 12.5 11 3720 312 1078
38 2 1342 23.15 17.38 9100 350 2100
38 2 3280 32.7 22.7 19051 396 3846
38 2 2548 37.5 34.8 23813 338 2205
38 2 805 14.5 11.3 4000 376 2100
38 2 794 15.24 12.14 4749 259 1496
38 2 794 15.24 12.94 4749 259 1496
38 2 1684 17.6 13.6 9629 426 1666
38 2 1386 18 15.5 8368 354 2044
38 2 678 10.2 8.75 2780 530 1250
38 2 1014 15.4 9.8 5000 464 1400
38 2 410 12.8 8.99 2548 341 1400
38 2 708 10.97 7.72 2855 454 1931
38 2 1192 22.8 14.5 11300 480 2495
38 2 2364 26.26 19.68 13834 410 3034
38 2 663.2 15.24 9.3 2685 369 966
39 2 2623 27.5 21 22680 473 2623
39 2 894 11.58 8.79 3607 512 1239
39 2 365 12.8 10 2585 314 1207
39 2 633.4 14.5 10.85 3090 311 700
39 2 1997 20 14.3 14000 470 2500
39 2 820 9.8 8.87 3200 560 650
39 2 626 9.7 8.26 2295 450 775
39 2 3576 33.5 20.5 29527 483 3380
39 2 2198 15.85 11.53 9798 666 724
39 2 894 10.4 9.2 3765 620 1086
39 2 1565 18.69 14.22 7516 443 2092
39 2 3130 35.97 24.33 27350 314 3700
39 2 2384 18.68 14.63 10931 523 1650
39 2 648.3 11.89 9 2410 391 632
39 2 2757 25 19.6 12500 440 3960
39 2 670.7 12 8.7 2480 510 2400
39 2 1569 14.7 11 5050 595 2880
39 2 708 12.1 9.21 2920 424 1060
39 2 641 10.61 8.17 2540 488 800
39 2 1342 23.77 18.96 9072 325 2575
39 2 119 9.17 6.83 844 211 566
39 2 2235.6 21.2 16.2 11300 434 2000
39 2 820 10 8.48 2820 558 850
40 2 5365.6 31.75 21.82 30844 502 2028
40 2 1460 21.08 16.33 8508 426 3200
40 2 5516 38 28.13 32500 467 7180
40 2 1714 17.45 12.75 6750 505 2400
40 2 1788 28.6 20.1 15000 390 2300
40 2 1222 14.97 12.34 6577 367 953
40 2 1490.4 19.96 15.19 7938 417 3041
40 2 2570 17.6 13 11521 531 2414
40 2 514 14 9.76 2850 320 1200
40 2 894 12.65 10.08 4317 410 1794
40 2 2534 18.69 14.78 12633 515 1577
40 2 894 11.1 7.8 3450 476 1500
40 2 894 10.3 8.16 3350 640 1250
40 2 842 11 9.06 2744 570 1570
40 2 853 14.14 12.27 4445 450 1288
40 2 2757.2 20.6 16.1 18960 443 2052
40 2 3280 40 24.5 30950 448 4000
40 2 894 10.97 8.68 3423 565 1287
40 2 4918 30.2 26.59 31751 435 2093
40 2 1714 12.5 10.2 6398 756 1802
40 2 1267 15.16 11.18 6370 473 3098
40 2 2235 27 22 18400 340 4750
40 2 2980 32.92 23.27 25400 301 1883
40 2 335.3 10.96 10.25 2722 275 1460
40 2 2548 16.51 12.65 11567 684 5633
41 2 2647 22 14.95 14530 520 2500
41 2 4769.2 42 28.2 45000 450 6060
41 2 820 12 8.75 3250 592 1900
41 2 894 10.58 8.85 2937 600 765
41 2 1640 16.4 11.2 8100 620 2400
41 2 5097 55 28.46 45000 218 1100
41 2 1677 12.55 11.56 7301 618 2090
41 2 402 12.19 9.47 2500 290 1600
41 2 857 10.86 8.9 2640 533 1680
41 2 1952 17.16 12.6 8520 540 1200
41 2 1192 10.5 8.96 4900 657 800
41 2 857 11 8.36 3267 545 1040
41 2 1889 12.4 11.03 8800 690 950
41 2 1416 16.51 12.49 8117 444 1625
42 2 1882 12.5 10.49 6211 711 1352
42 2 1639.4 12.62 9.73 6010 663 821
42 2 984 13.5 9.75 5250 408 560
42 2 732.3 10 8.16 2386 530 950
42 2 1565 15.02 10.6 5276 547 1500
42 2 1099 11.85 8.37 3710 620 1650
42 2 1490 13.06 10.24 6383 597 1520
42 2 2757.2 19.96 15.77 14061 502 2141
42 2 1490.4 21.64 17.75 17327 462 1931
42 2 2160 35.81 28.6 33113 365 4025
42 2 1080.5 9.45 8.8 2770 610 1300
42 2 1080.5 20.3 16.2 10680 490 2400
42 2 4472 32 22.29 29885 420 3520
42 2 4828 31.1 24 30844 375 4345
42 2 987 11.7 10 4763 657 724
42 2 1043.2 16.7 11.8 6618 408 1200
42 2 2757.2 18.85 13.8 12800 550 1950
42 2 1267 14.64 12.12 6123 449 960
42 2 1014 10 8.55 3200 592 1225
42 2 1043.3 11.5 10.2 3910 580 2110
43 2 4396 31.44 22 31000 488 4750
43 2 6556 43.1 30.2 64000 576 6598
43 2 1520 17 12.2 7250 533 2175
43 2 155 12.04 8.59 1588 253 1255
43 2 1340 11.58 9.37 5620 869 1963
43 2 1592 14.1 12.6 9850 742 1630
44 2 2646 31.67 21.31 17250 350 2125
44 2 10432 43.1 33.6 66134 604 6437
44 2 3024 13.72 11.79 9480 760 4828
44 2 2236 15.57 11.45 7300 580 2000
44 2 1360 14.4 11.5 6500 566 3040
44 2 704 7.2 9.05 2700 840 610
44 2 1840 12.17 10.52 7646 933 2221
44 2 1006 12.5 11.08 4082 504 1006
44 2 3130 15.7 13.82 11666 687 1777
44 2 2235.6 15.26 12.55 11604 591 2090
44 2 1499.2 9.32 5.69 4309 960 80
44 2 1587.2 12.5 10.61 7045 868 1050
44 2 5208 36.6 23.9 37194 383 5745
44 2 670.7 11.89 10.36 3492 306 1255
44 2 149 10.97 8.53 1243 203 724
44 2 1147.6 14.9 10.85 5430 480 1450
44 2 1490.4 12.5 11.1 5260 624 4640
44 2 149 11.07 7.26 1307 200 748
44 2 1416 11.3 9.92 3600 625 1700
44 2 2980 21.34 15.62 15876 600 2253
44 2 2012 15.47 11.84 11340 512 1448
44 2 1006 12.19 9.86 5285 684 2133
44 2 2198 17 13.2 8800 575 2600
44 2 1013 11.38 10.16 4014 608 386
44 2 1416 15.16 11.18 6370 473 3098
45 2 1841 11.7 10.57 5602 724 1127
45 2 1118 12 8.82 3500 580 2000
45 2 596 17.4 11.96 4060 338 1415
45 2 5216 31.65 27.94 36240 648 5930
45 2 1565 10.92 8.61 5875 678 1778
45 2 30 10.9 6.3 481 149 402
45 2 1280 12.42 11.82 5164 810 1105
45 2 212.4 10.2 8.1 1542 338 1648
45 2 149 11.02 6.78 1361 241 1320
45 2 2951 32.9 22.4 19958 362 1320
45 2 1878 15.6 11.8 7938 547 1191
45 2 1528 14.5 10.7 5220 760 2000
45 2 3130 29.38 24.25 20577 440 3200
46 2 2240 11.1 11.62 10670 1001 1609
46 2 67 10.7 6.6 658 176 560
46 2 16992 70.1 49.4 162386 700 10943
47 2 335.3 14.64 9.24 2313 225 1252
47 2 2520 13.67 12.24 10120 917 2374
47 2 746 18.2 12.4 5500 258 900
47 2 4992 34.44 24.89 36287 560 6840
47 2 4024 35.1 24.7 23587 386 995
47 2 2160 11.89 12.09 7348 964 370
47 2 123 11.4 7.7 930 183 734
48 2 2080 11.85 11.51 6550 965 2165
48 2 5514 33.3 26.36 9070 391 1595
48 2 2381 10.08 10.04 5400 1015 680
48 2 14400 35.4 33 91625 1013 5150
48 2 6400 18.19 16.41 19160 982 1408
48 2 820 17.07 13.06 4990 368 1451
48 2 4762 21.45 17.65 21000 900 2180
48 2 2800 11.33 13.59 7100 956 1143
48 2 5932 28.56 26.11 32885 575 2554
49 2 7120 35 28.35 47627 788 2186
49 2 2500 11.58 11.84 8491 932 2092
49 2 506.6 13.8 9.6 3175 375 2172
49 2 1788.5 18.49 13.21 11340 507 2414
49 2 2388 11.91 11.44 9350 1105 1485
49 2 596 12.23 9.76 3068 461 1612
49 2 2262 16.56 13.11 8891 481 1065
49 2 112 10.76 6.86 794 185 742
49 2 159 11 7.9 1103 184 848
49 2 2124 29.46 19.18 17010 379 4587
49 2 5920 19.5 20 24925 871 1296
50 2 10134.4 45.72 35.41 70760 607 8690
50 2 745.2 21.79 14.78 6123 307 2200
50 2 8496 49.4 30.3 61200 383 2092
51 2 3577 28.42 22.73 19800 450 2961
51 2 447 17.69 12.8 3629 257 1520
51 2 6880 11.6 20.8 14187 1529 1770
51 2 6260 35.81 32.18 48534 507 4835
51 2 2040 11.25 11.43 5579 950 1915
52 2 335 13.75 8.65 2700 270 1200
52 2 32000 33.8 30.4 81645 1005 4630
52 2 3080 11.92 11.07 10750 1094 2390
52 2 819 19.66 14.02 6125 360 1850
52 2 12280 43.4 37.9 84345 574 8545
52 2 4253 13 14.94 13600 1114 3219
52 2 1216 12.2 10.1 3260 725 1400
52 2 3780 11.8 13.5 14353 1094 1062
52 2 16760 33.5 36.5 68000 945 6400
53 2 5067.4 36.03 30.66 34761 404 3300
53 2 2980 9.6 11.36 6069 1145 1400
53 2 2832 31.67 22.34 17250 415 1508
53 2 171.5 10.9 7.8 1270 274 1168
53 2 6800 11.81 16.54 15800 1390 2410
53 2 212.5 11.3 9.7 2495 383 2800
53 2 2832 32.4 22.3 18000 300 2500
53 2 2000 11 10.13 6060 1060 2700
53 2 2735 13.42 12.88 11113 616 1448
54 2 11200 8.38 12.27 11113 1038 3225
54 2 4200 9.64 13.69 10921 1207 2044
54 2 298 10.2 8.8 1938 414 1205
54 2 704 10.15 10.05 3375 650 1500
54 2 30688 50.48 47.2 158750 901 11265
54 2 13088 10.6 16.2 22680 2446 1287
54 2 10712 15.85 17.3 19473 998 1497
54 2 7160 6.68 16.69 14061 2372 1247
54 2 298 12.8 9.7 2463 233 709
54 2 40000 56.4 48 221350 1040 20120
54 2 44132 51.1 49.5 188000 805 12550
55 2 5732 9 12.54 8700 1452 685
55 2 201 11.12 8.78 1680 309 1095
55 2 704 10.93 8.97 3700 700 1700
55 2 10600 10.65 20.43 23968 2230 3330
55 2 7060 9.4 15.35 16000 2124 1003
55 2 6800 24.38 15.11 7189 850 6437
55 2 16000 34.85 32.99 63503 912 7242
55 2 3192 29 23.56 20410 480 1935
55 2 201 12 9.6 1850 227 1100
55 2 6400 10.87 16.61 15420 2127 965
56 3 8160 22.21 22.91 37648 1015 2414
56 3 9800 11.7 21.6 15876 2613 1851
56 3 13448 40.41 29.79 79379 621 4002
56 3 119 10.9 8.2 1043 232 1066
56 3 7152 43 28.9 54000 380 4700
56 3 2400 13.06 11.75 7167 933 1561
56 3 24960 17.3 29.5 73935 2229 3862
56 3 3264 8.56 10.3 5440 1078 770
56 3 3400 10.51 14.78 9344 1135 1610
56 3 5468 8.22 15.03 13500 2372 1200
56 3 1565 15.6 13.9 8200 470 2500
56 3 954 23.33 13.8 6620 256 759
56 3 6170 15.09 15.57 20700 1100 4000
56 3 8818.4 8.93 17.37 13500 1725 1450
56 3 3780 9.86 12.88 9707 1102 773
56 3 10136 38.86 34.21 64864 571 7410
57 3 30400 44.4 46.6 151315 1010 6920
57 3 231 11.2 8.6 1723 325 1973
57 3 11932 38 33.1 61000 777 1200
57 3 11028 43.4 39.1 67130 507 6440
57 3 15344 34.54 38.85 76000 800 2650
57 3 3880 10.51 14.04 10000 1195 965
58 3 3137.2 28.88 23.01 19500 443 2830
58 3 74.5 10 7.3 726 201 629
58 3 448 22 11.4 3600 222 800
58 3 2160 29.15 22.13 11793 347 2103
58 3 14320 11.77 19.2 28030 2414 1031
59 3 134 10.7 7.2 844 245 1180
59 3 12676 37.4 35.9 61200 675 4250
59 3 3264 7.7 14.38 9379 1488 2232
59 3 17080 43.4 46.3 95250 621 5245
59 3 3080 7.7 14.13 5485 1326 1759
59 3 2086 14.63 12.5 8214 465 1520
59 3 410 15.13 10.9 2770 259 1036
59 3 5700 10.77 17.96 15377 1170 2414
59 3 784 10.3 10.8 3540 655 894
59 3 7364 35.1 27.1 47610 433 5220
59 3 12698.4 11.85 23.5 31600 2340 1240
59 3 134 9.74 7.24 1050 240 1110
59 3 11178 30.18 31.81 52664 652 5014
59 3 1000 10.8 10.3 3866 708 1450
60 3 17920 36.6 39.4 87540 990 4630
60 3 17400 32.9 46.7 95027 964 3966
60 3 3400 30 20.4 21092 452 2483
60 3 388 11.5 8.5 2313 348 1836
61 3 5960 29.7 32.9 29500 610 4000
61 3 134 10.67 7.06 1168 272 1410
61 3 25600 36.6 42.4 114760 990 6115
61 3 11904 12.09 20.55 21180 1963 2500
61 3 10040 28.5 32.6 47400 871 3484
61 3 566 15.3 10.8 3992 362 2441
61 3 21600 27.7 40.53 83900 1509 2250
61 3 21600 20 26 45000 1887 4989
61 3 14860 35.97 37.45 63957 684 3331
61 3 298 12 8.8 2040 251 1038
61 3 9100 36.3 31.8 43500 658 9000
61 3 10496 12.95 21.65 15875 1186 2253
62 3 14287.2 16.15 23.35 30300 2228 4830
62 3 32960 36.58 35.03 79379 992 7403
62 3 134 9.14 7.16 1089 245 1360
62 3 238 10.97 7.67 1690 330 1930
62 3 194 11.12 8.1 1300 201 680
62 3 14352 29.9 40 68040 959 3798
62 3 2960 14.3 15.5 10977 592 4318
62 3 9920 22.1 23.27 37195 982 1690
62 3 74.5 8.02 5.79 630 230 1000
62 3 9524 25.55 30.58 38000 870 1220
62 3 1708 22.6 19.3 10800 418 1020
62 3 3430 33.53 23.92 27215 367 1666
62 3 32592 44.6 48.4 146510 935 6275
63 3 4206 29.2 23.8 24000 435 2250
63 3 1312 9.5 10.5 4500 770 1780
63 3 2280 10.9 8.6 6350 816 740
63 3 1066 19.79 12.6 6577 327 1115
63 3 1000 10.47 10.34 4300 812 1240
63 3 9098 40 32.4 51000 513 1852
63 3 33600 48.74 44.2 143607 919 9880
63 3 1066 11.94 12.02 5250 571 2584
63 3 1386 19.59 15.3 7750 500 2575
64 3 462 12.4 9.94 2948 399 1973
64 3 224 10.9 8.6 1633 290 1028
64 3 2480 14.49 16.61 9200 825 2370
64 3 2688 13.2 12.85 8165 852 2128
64 3 194 8.34 7.1 1200 340 1650
64 3 4560 32 26.3 24500 469 3215
64 3 20080 9.74 22.4 45360 2335 4707
64 3 4672 29.26 24.08 22316 420 1112
65 3 223.5 12.4 8 1814 243 595
65 3 388 14.9 10.9 2993 290 1136
65 3 44744 64.4 57.8 250000 740 5000
65 3 560 12.5 11.1 3379 478 2755
65 3 8880 13.41 19.33 28123 1038 3700
65 3 119 8.5 6.6 840 227 800
65 3 972 19.81 15.77 5670 338 1825
65 3 3600 16.3 17.15 13000 862 3350
65 3 149 10.86 8 1300 221 1258
65 3 156.5 11.6 9.1 2100 332 2288
65 3 220 11.89 9.45 1542 269 1062
65 3 424.8 11.5 8.8 2405 386 2103
65 3 7624 29.2 23.8 26000 510 2200
65 3 5360 11.79 14.05 19050 1112 3671
65 3 112 9.14 7.1 975 229 1350
66 3 26000 16.94 32.74 77111 3219 4800
66 3 4564 29.78 29.23 34019 402 4450
66 3 566 12 10.3 3073 455 2060
66 3 17080 48.42 41.69 104300 566 8530
66 3 9120 20.98 24.36 29711 936 6025
66 3 448 12.2 11 2858 424 2280
66 3 1014 15.49 12.07 5670 391 2575
66 3 566 15.55 11.41 3842 325 2950
66 3 2360 10.84 13.18 6123 877 2512
67 3 1066 12.19 12.67 6552 452 367
67 3 134 10.8 8.3 1134 257 1445
67 3 432 11.18 10.61 2721 476 2305
67 3 9128 33.15 33.46 43000 547 2168
67 3 11600 28.4 29.5 53070 927 4448
67 3 37040 43.2 53.12 162000 860 7950
67 3 10934.4 10.53 20.5 16000 2588 725
67 3 28800 45.23 57.1 158760 965 8820
67 3 3132 28.6 19.8 19731 291 2260
67 3 1364 11.2 10.3 5215 760 2224
67 3 11200 28.47 36.37 54885 907 2148
67 3 7920 25.07 29.61 32200 843 1852
67 3 253.5 11.7 8.7 1700 278 990
68 3 19424 35 38.6 87090 880 8000
68 3 1760 14.4 13.3 5375 649 2474
68 3 212.4 10.2 8.1 1542 338 1648
68 3 149 10.1 7.1 1066 241 1000
68 3 65600 67.88 75.54 348810 919 6033
68 3 2360 11.62 11.67 5983 852 1722
68 3 1517 9.5 12.3 5270 730 1600
69 3 10406 10.6 16.3 17750 2156 1000
69 3 1522 14.5 14.25 6800 500 3042
69 3 8600 7.7 13.9 11340 1186 5560
69 3 1118 20.96 13.03 6903 319 1306
69 3 924 13.01 10.57 4082 524 2020
69 3 1088 19.49 14.47 5700 365 1040
69 3 462 13.5 11.1 3062 443 2426
69 3 80000 59.6 70.5 365140 969 10424
69 3 14644 30.37 35.61 64410 761 3835
69 3 60880 25.6 62.1 185065 2691 6580
70 3 25350 14.25 16.8 13850 2480 960
70 3 2000 12.9 13.8 6600 760 1555
70 3 14550 7.15 15.76 9400 2264 1100
70 3 112 10.2 6.9 748 212 977
70 3 35272 34.45 40.23 122500 2156 8050
70 3 820 15.3 10.8 4377 412 2374
