Comp.1 Comp.2 Year Period
-3.45 -0.319 31 1
-2.23 0.151 31 1
-1.641 0.38 31 1
-1.277 -0.034 31 1
-1.447 -0.368 31 1
-2.001 0.532 31 1
-0.391 -0.951 32 1
-2.94 -0.448 32 1
-2.029 -0.991 32 1
-2.029 -0.991 32 1
-1.79 0.274 32 1
1.436 -1.364 32 1
-1.903 0.396 32 1
-0.561 -1.097 32 1
-1.846 -0.046 32 1
-1.99 0.063 32 1
-0.768 -0.212 32 1
0.837 -1.26 32 1
-1.574 -0.295 32 1
0.505 -1.452 32 1
0.686 -0.469 32 1
-2.07 0.319 32 1
-2.061 0.309 32 1
1.226 -1.889 32 1
-1.982 0.787 33 1
0.611 -1.903 33 1
-2.06 0.627 33 1
-2.84 0.065 33 1
-0.008 -1.128 33 1
-1.925 0.3 33 1
-2.157 0.359 33 1
1.334 -1.647 33 1
-0.977 -0.071 33 1
-2.276 1.243 33 1
0.104 -0.853 33 1
-1.781 0.694 33 1
-1.949 0.737 33 1
0.699 -1.357 33 1
-1.11 -0.167 33 1
-1.229 -0.596 33 1
-1.016 -0.522 33 1
-0.85 -0.702 33 1
0.537 -0.504 34 1
-0.624 -1.049 34 1
-1.592 -0.752 34 1
-1.818 0.389 34 1
0.762 -0.273 34 1
1.11 -1.361 34 1
-0.923 -0.612 34 1
-1.417 -0.671 34 1
-1.785 0.111 34 1
-0.393 -1.036 34 1
0.512 -0.816 34 1
-0.854 -0.386 34 1
-0.546 -0.434 34 1
-1.671 0.353 34 1
0.22 -1.12 34 1
-1.595 0.08 34 1
-1.086 -0.162 34 1
1.552 -1.508 34 1
0.527 -1.009 34 1
0.065 -0.899 34 1
-0.452 1.155 34 1
-1.141 -0.658 34 1
-0.099 -1.153 34 1
-1.42 -0.832 35 1
-0.775 -0.214 35 1
1.581 -1.498 35 1
-1.967 0.537 35 1
-1.935 0.762 35 1
0.189 -1.308 35 1
0.303 -0.118 35 1
1.018 -0.456 35 1
-1.683 0.407 35 1
-0.501 0.195 35 1
-0.719 -1.179 35 1
-1.08 0.42 35 1
-1.853 0.736 35 1
0.513 -1.276 35 1
-1.467 0.204 35 1
-1.284 1.258 35 1
-1.617 0.594 35 1
1.273 -0.971 35 1
0.671 -0.955 35 1
0.239 -0.789 35 1
-1.074 0.65 35 1
0.761 -0.902 35 1
-2.953 -0.549 35 1
-1.295 0.5 35 1
-1.038 -0.486 35 1
0.977 -1.353 36 2
-0.446 -0.19 36 2
0.975 -0.493 36 2
-2.278 -0.957 36 2
2.403 -1.606 36 2
-0.355 -0.514 36 2
2.417 -1.968 36 2
-0.022 0.274 36 2
1.308 -0.968 36 2
-1.107 -0.345 36 2
0.231 -0.086 36 2
1.648 -1.439 36 2
0.48 -0.211 36 2
0.186 -0.202 36 2
-1.484 0.859 37 2
-1.433 0.711 37 2
2.267 -1.234 37 2
-1.095 -0.444 37 2
-1.625 0.085 37 2
1.977 -1.311 37 2
-1.817 0.681 37 2
1.296 -1.248 37 2
-2.295 0.686 37 2
-1.023 0.711 37 2
1.026 -0.46 37 2
-1.199 -0.18 37 2
-0.578 0.029 37 2
-0.019 0.269 37 2
0.9 -0.376 37 2
-0.922 -0.094 37 2
0.592 -0.479 37 2
-1.508 0.813 37 2
1.245 -0.515 37 2
-0.82 -0.04 37 2
-1.952 0.684 37 2
-0.608 0.15 37 2
-0.972 0.837 37 2
0.363 -0.772 37 2
0.389 0.137 38 2
3.377 -1.948 38 2
1.298 0.04 38 2
-0.826 -0.409 38 2
2.283 -0.893 38 2
-1.052 -0.582 38 2
-1.038 -0.035 38 2
0.752 -0.815 38 2
2.144 -1.13 38 2
2.28 -1.628 38 2
-0.401 -0.065 38 2
-0.581 -0.527 38 2
-0.525 -0.552 38 2
0.386 -0.104 38 2
0.43 -0.433 38 2
-1.183 0.868 38 2
-0.442 0.216 38 2
-1.31 0.002 38 2
-1.067 0.623 38 2
0.852 -0.424 38 2
1.534 -0.793 38 2
-1.136 -0.03 38 2
1.826 -0.694 39 2
-0.927 0.715 39 2
-1.357 -0.133 39 2
-1.24 -0.188 39 2
0.961 -0.191 39 2
-1.399 1.066 39 2
-1.68 0.81 39 2
2.279 -0.884 39 2
0.027 0.695 39 2
-0.933 1.051 39 2
0.493 -0.187 39 2
2.269 -1.533 39 2
0.733 0.072 39 2
-1.587 0.395 39 2
1.668 -0.652 39 2
-0.797 0.561 39 2
0.235 0.503 39 2
-1.161 0.416 39 2
-1.525 0.789 39 2
0.917 -0.98 39 2
-3.245 -0.105 39 2
0.925 -0.356 39 2
-1.335 1.029 39 2
2.19 -0.682 40 2
0.927 -0.487 40 2
3.184 -1.199 40 2
0.461 0.085 40 2
1.401 -0.984 40 2
-0.405 -0.022 40 2
0.768 -0.405 40 2
0.822 0.185 40 2
-1.167 -0.159 40 2
-0.588 0.276 40 2
0.783 0.065 40 2
-1.018 0.718 40 2
-1.003 1.131 40 2
-0.887 0.853 40 2
-0.457 0.184 40 2
1.168 -0.266 40 2
2.614 -1.287 40 2
-0.934 0.891 40 2
2.263 -0.867 40 2
0.028 1.052 40 2
0.225 0.167 40 2
1.881 -1.126 40 2
1.761 -1.394 40 2
-1.424 -0.123 40 2
1.29 0.467 40 2
1.216 -0.172 41 2
3.233 -1.376 41 2
-0.686 0.774 41 2
-1.234 1.044 41 2
0.443 0.425 41 2
2.279 -2.326 41 2
0.166 0.764 41 2
-1.319 -0.147 41 2
-0.918 0.8 41 2
0.241 0.269 41 2
-0.897 1.188 41 2
-1.119 0.876 41 2
-0.13 1.009 41 2
0.155 0.027 41 2
-0.103 1.019 42 2
-0.498 0.984 42 2
-1.058 0.327 42 2
-1.43 0.96 42 2
-0.133 0.461 42 2
-0.65 0.918 42 2
-0.171 0.734 42 2
1.096 -0.086 42 2
1.065 -0.418 42 2
2.478 -1.499 42 2
-1.015 1.188 42 2
0.802 -0.311 42 2
2.347 -0.975 42 2
2.479 -1.096 42 2
-0.833 0.987 42 2
-0.242 -0.078 42 2
0.895 0.145 42 2
-0.358 0.235 42 2
-1.009 1.09 42 2
-0.401 0.776 42 2
2.548 -0.818 43 2
3.689 -1.126 43 2
0.366 0.181 43 2
-2.046 -0.376 43 2
-0.12 1.282 43 2
0.38 0.794 43 2
1.609 -1.178 44 2
3.943 -1.035 44 2
1.036 0.885 44 2
0.356 0.48 44 2
0.311 0.428 44 2
-1.571 1.864 44 2
0.32 1.291 44 2
-0.696 0.552 44 2
0.815 0.645 44 2
0.619 0.483 44 2
-2.356 2.177 44 2
-0.135 1.223 44 2
2.84 -1.292 44 2
-1.084 0.016 44 2
-2.599 -0.446 44 2
-0.277 0.272 44 2
0.38 0.701 44 2
-2.708 -0.415 44 2
-0.452 0.962 44 2
1.311 0.033 44 2
0.289 0.351 44 2
-0.209 0.884 44 2
0.74 0.277 44 2
-1.246 0.998 44 2
0.258 0.186 44 2
-0.273 1.133 45 2
-0.543 0.796 45 2
-0.543 -0.444 45 2
3.113 -0.605 45 2
-0.339 1.156 45 2
-4.127 -0.863 45 2
-0.225 1.077 45 2
-1.873 0.195 45 2
-2.387 -0.237 45 2
1.542 -1.146 45 2
0.075 0.422 45 2
0.131 0.824 45 2
2.089 -0.898 45 2
0.386 1.507 46 2
-3.506 -0.576 46 2
5.457 -1.61 46 2
-1.522 -0.648 47 2
0.763 1.113 47 2
-0.651 -0.726 47 2
3.068 -0.846 47 2
1.717 -1.118 47 2
-0.429 1.5 47 2
-2.862 -0.598 47 2
0.363 1.351 48 2
1.73 -1.048 48 2
-0.471 1.795 48 2
4.111 -0.15 48 2
1.515 0.918 48 2
-0.259 -0.312 48 2
1.83 0.497 48 2
0.268 1.444 48 2
2.499 -0.476 48 2
2.978 -0.382 49 2
0.485 1.364 49 2
-0.788 -0.023 49 2
0.74 0.006 49 2
0.401 1.549 49 2
-0.886 0.401 49 2
0.196 0.21 49 2
-3.082 -0.486 49 2
-2.653 -0.529 49 2
1.813 -1.071 49 2
1.718 0.619 49 2
4.203 -1.158 50 2
0.209 -0.919 50 2
3.094 -1.585 50 2
2.004 -0.777 51 2
-0.684 -0.84 51 2
1.612 1.863 51 2
3.277 -1.031 51 2
0.185 1.412 51 2
-1.512 -0.345 52 2
4.143 0.076 52 2
0.734 1.547 52 2
0.097 -0.565 52 2
4.31 -1.146 52 2
1.405 1.368 52 2
-0.49 1.012 52 2
0.658 1.594 52 2
4.175 -0.187 52 2
2.761 -1.262 53 2
0.129 1.908 53 2
1.575 -0.969 53 2
-2.257 -0.102 53 2
1.57 1.794 53 2
-1.139 0.078 53 2
1.714 -1.394 53 2
0.307 1.567 53 2
0.423 0.749 53 2
1.08 2.085 54 2
0.824 1.906 54 2
-1.682 0.467 54 2
-0.799 1.029 54 2
5.463 -0.81 54 2
1.733 2.714 54 2
1.654 1.17 54 2
1.027 3.155 54 2
-1.864 -0.426 54 2
6.117 -0.814 54 2
5.687 -0.915 54 2
0.238 2.383 55 2
-1.968 -0.012 55 2
-0.714 1.046 55 2
2.336 2.394 55 2
1.095 2.656 55 2
2.031 0.298 55 2
4.123 -0.256 55 2
1.843 -0.726 55 2
-1.933 -0.475 55 2
1.215 2.431 55 2
2.564 0.56 56 3
2.062 2.47 56 3
3.701 -0.791 56 3
-2.514 -0.352 56 3
3.254 -1.506 56 3
0.35 1.239 56 3
3.765 1.765 56 3
-0.386 2.098 56 3
0.691 1.69 56 3
0.978 2.892 56 3
0.483 0.095 56 3
-0.316 -1.032 56 3
1.92 1.19 56 3
1.263 2.453 56 3
0.183 1.879 56 3
3.91 -0.99 56 3
5.14 -0.476 57 3
-1.611 0.008 57 3
3.113 -0.417 57 3
4.026 -1.281 57 3
3.748 -0.361 57 3
0.475 1.836 57 3
1.952 -0.837 58 3
-3.282 -0.38 58 3
-1.012 -1.167 58 3
1.373 -1.128 58 3
1.949 2.538 58 3
-2.608 -0.209 59 3
3.765 -0.689 59 3
0.706 2.346 59 3
4.42 -1.036 59 3
0.309 2.245 59 3
0.17 0.301 59 3
-1.257 -0.55 59 3
1.433 1.663 59 3
-0.932 1.058 59 3
3.118 -1.089 59 3
2.219 2.38 59 3
-2.636 -0.11 59 3
3.471 -0.446 59 3
-0.555 1.095 59 3
4.279 -0.237 60 3
4.279 -0.187 60 3
1.87 -0.792 60 3
-1.346 0.146 60 3
2.949 -0.591 61 3
-2.374 -0.104 61 3
4.687 -0.233 61 3
2.226 2.142 61 3
3.327 -0.055 61 3
-0.447 -0.23 61 3
3.959 0.657 61 3
3.596 1.406 61 3
3.719 -0.592 61 3
-1.842 -0.262 61 3
3.78 -0.758 61 3
1.904 1.484 61 3
3.132 1.831 62 3
4.558 -0.131 62 3
-2.57 -0.023 62 3
-1.73 0.102 62 3
-2.576 -0.403 62 3
3.868 -0.04 62 3
1.187 0.465 62 3
2.433 0.592 62 3
-3.412 0.088 62 3
2.563 0.198 62 3
0.677 -0.525 62 3
1.895 -1.179 62 3
5.102 -0.558 62 3
2.029 -0.813 63 3
-0.359 1.365 63 3
-0.56 1.505 63 3
-0.187 -0.544 63 3
-0.554 1.294 63 3
3.019 -1.006 63 3
5.312 -0.691 63 3
-0.019 0.632 63 3
0.728 -0.185 63 3
-0.913 0.159 64 3
-2.04 -0.023 64 3
0.991 0.808 64 3
0.633 1.083 64 3
-2.257 0.491 64 3
2.432 -0.906 64 3
2.964 2.591 64 3
1.675 -0.773 64 3
-2.324 -0.297 65 3
-1.16 -0.428 65 3
5.605 -1.268 65 3
-0.453 0.301 65 3
2.175 1.261 65 3
-3.128 0.049 65 3
0.195 -0.657 65 3
1.538 0.722 65 3
-2.331 -0.37 65 3
-1.495 -0.116 65 3
-1.933 -0.255 65 3
-1.159 0.246 65 3
2.295 -0.54 65 3
1.531 1.537 65 3
-2.705 -0.122 65 3
4.145 2.133 66 3
2.683 -1.055 66 3
-0.75 0.358 66 3
4.645 -1.281 66 3
2.947 0.455 66 3
-0.755 0.188 66 3
0.022 -0.114 66 3
-0.353 -0.405 66 3
0.46 1.316 66 3
-0.966 0.518 67 3
-2.245 -0.245 67 3
-0.824 0.429 67 3
2.952 -0.726 67 3
3.47 0.056 67 3
5.316 -0.644 67 3
1.495 2.719 67 3
5.437 -0.658 67 3
1.512 -1.198 67 3
-0.08 1.135 67 3
3.283 0.012 67 3
2.601 0.131 67 3
-1.962 -0.138 67 3
4.471 -0.338 68 3
0.407 0.584 68 3
-1.873 0.195 68 3
-2.64 -0.116 68 3
6.308 -1.159 68 3
0.194 1.28 68 3
-0.197 1.281 68 3
1.398 2.562 69 3
0.501 0.222 69 3
1.39 2.191 69 3
-0.014 -0.663 69 3
-0.364 0.481 69 3
-0.107 -0.449 69 3
-0.585 0.103 69 3
6.523 -0.931 69 3
3.663 -0.261 69 3
5.672 1.284 69 3
1.869 2.485 70 3
0.305 0.942 70 3
1.011 3.176 70 3
-2.939 -0.3 70 3
5.204 0.728 70 3
-0.259 -0.026 70 3
-0.405 -0.711 70 3
-1.88 0.251 70 3
2.156 -0.509 70 3
0.16 0.27 71 3
2.611 2.535 71 3
-1.184 0.627 71 3
-0.044 0.131 71 3
0.241 -0.493 71 3
-2.544 -0.232 71 3
5.242 -0.865 71 3
1.247 2.478 71 3
-0.758 0.333 71 3
-0.621 -0.478 71 3
0.506 0.067 72 3
1.52 2.28 72 3
-2.253 0.051 72 3
-1.05 0.077 72 3
2.036 1.075 72 3
5.768 -0.716 72 3
1.245 0.69 72 3
0.117 -0.069 72 3
2.909 2.437 72 3
5.711 -0.63 72 3
0.269 1.746 73 3
1.105 2.38 73 3
1.019 2.472 73 3
3.124 1.836 74 3
-0.438 1.824 74 3
1.983 2.205 74 3
2.149 0.501 74 3
1.036 2.754 74 3
-1.647 -0.408 74 3
0.782 -0.726 74 3
0.331 2.008 74 3
2.154 -0.593 74 3
-0.19 -0.015 75 3
-1.597 2.549 75 3
-1.54 -0.815 75 3
1.654 -0.933 75 3
3.098 -0.184 75 3
-1.65 0.141 75 3
2.111 0.716 76 3
-2.428 -0.251 76 3
0.998 2.988 76 3
5.391 -0.657 76 3
0.006 1.372 76 3
0.29 2.202 76 3
5.812 1.075 77 3
1.361 2.459 77 3
0.148 1.956 77 3
-2.584 -0.283 77 3
2.29 0.144 77 3
-3.131 -0.368 77 3
-1.681 -0.052 77 3
0.446 2.649 77 3
2.459 0.399 78 3
-0.606 0.02 78 3
0.164 0.253 78 3
4.995 -0.856 78 3
-3.075 -0.417 78 3
0.767 2.835 78 3
-1.666 -0.048 78 3
0.55 0.381 78 3
-1.938 0.051 78 3
1.586 2.369 78 3
1.3 0.938 78 3
-2.263 -0.072 79 3
1.449 0.859 79 3
3.188 0.242 79 3
-2.284 -0.342 79 3
2.454 2.474 79 3
0.034 0.151 80 3
-1.121 -0.26 80 3
-0.133 1.425 80 3
5.094 -0.69 81 3
1.05 -0.691 81 3
-0.314 -0.664 82 3
2.23 2.424 82 3
2.901 0.025 82 3
4.661 -0.407 82 3
1.917 -0.807 82 3
1.253 -0.231 83 3
-0.382 1.309 84 3
