Density mack.lat mack.long mack.depth Temperature Salinity
3.66 53.25 11.68 182 15.88 165
8.33 53.23 12.2 308 18.38 183
29.2 53.25 12.7 338 20.82 183
51.55 53.23 13.2 236 23.1 183
51.48 53.23 13.68 171 1.42 166
38.12 53.25 14.2 208 3.83 183
104 53.25 14.7 949 6.33 183
179.54 53.72 14.75 1500 10.18 183
28.9 53.75 14.28 1358 12.73 183
74.9 53.75 13.8 418 15.13 183
42.12 53.75 13.28 303 17.53 183
42.11 53.73 12.77 283 20.25 183
26.43 53.73 12.28 333 22.43 183
22.55 53.73 11.77 295 0.67 183
9.97 53.75 11.3 205 3.08 183
18.89 53.75 10.78 148 5.45 139
0.89 53.2 10.72 119 13.83 118
1.9 52.73 10.27 100 19.25 93
84.06 54.25 10.72 214 19.82 183
155.83 54.25 11.2 340 22.15 183
69.66 54.25 11.73 1172 0.65 183
82.33 54.23 12.2 2030 2.97 183
21.88 54.23 12.7 2200 5.38 183
12.69 54.73 12.27 2000 9.47 183
10.5 54.75 11.78 2873 12.08 183
11.41 54.75 11.3 2900 14.48 183
211.63 54.75 10.78 1750 16.88 183
49.99 54.75 10.28 120 19.25 118
21.52 54.73 9.73 100 22 88
0.6 55.23 8.7 93 6.45 80
6.91 55.25 9.22 109 8.57 102
20.4 55.25 9.72 128 10.73 80
31.47 55.23 10.18 1291 12.75 183
13.62 55.23 10.65 2480 14.83 183
35.12 55.73 10.27 2300 19.07 183
33.96 55.75 9.78 1785 21.25 183
22.53 55.73 9.27 140 23.48 128
6.1 55.73 8.77 106 1.73 101
2.1 55.73 8.28 104 3.9 93
0.92 56.25 8.23 167 7.17 155
2.27 56.23 8.72 131 9.32 120
32.23 56.25 9.2 711 11.38 183
92.77 56.23 9.68 1595 13.98 183
18.57 56.75 9.77 1795 17.53 183
188.9 56.75 9.28 1260 19.58 183
9.12 56.73 8.78 117 21.75 101
3.97 57.23 8.73 134 1.13 129
41.55 57.23 9.18 174 3.12 146
63.62 57.25 9.7 1940 5.2 183
55.3 57.75 9.77 1088 8.88 95
2.61 57.75 9.27 144 10.95 133
5.25 57.75 8.78 146 13.2 133
2.02 57.73 8.28 111 15.98 110
0.66 56.77 8.25 132 22.37 120
0.52 48.25 5.75 120 13.08 50
13.69 48.25 6.23 139 15.52 50
9.24 48.25 6.75 155 18.23 50
2.21 48.25 7.25 172 20.8 65
9.17 48.25 7.75 177 23.25 60
14.62 48.25 7.8 178 23.57 65
15.66 48.25 8.25 205 1.55 60
93.56 48.25 8.75 200 3.98 173
77.66 48.25 8.8 190 5.12 180
59.52 48.25 9.23 560 8.8 200
57.72 48.25 9.25 520 9.22 200
118.79 48.25 9.75 775 11.7 150
62.8 48.25 9.77 906 12.13 150
176.81 48.25 10.23 2000 14.58 207
133.23 48.25 10.23 2000 15.07 205
254.14 48.25 10.73 1800 17.57 205
227.16 48.25 10.75 1900 18 200
237.37 48.25 11.25 3600 20.35 200
75.04 48.25 11.73 3000 10.78 150
20.15 47.75 10.77 2000 3.83 206
27.89 47.75 10.25 2000 5.22 200
14.64 47.75 9.75 4450 8.53 200
20.43 47.75 9.23 3500 11.5 110
95.08 47.75 8.73 2500 13.77 200
126.78 47.75 8.27 1560 15.92 200
189.65 47.75 8.23 1350 16.47 210
154.51 47.75 7.77 900 18.53 200
116.22 47.75 7.75 770 18.97 200
23.52 47.75 7.25 176 21.3 150
42.18 47.75 6.75 167 23.88 118
3.08 47.75 6.27 152 2.33 57
6.39 47.75 5.75 134 4.37 59
2.1 47.75 4.75 100 8.45 75
8.51 47.25 4.73 122 11.37 72
11.18 47.25 6.23 1314 18.2 120
26.19 47.25 6.28 1115 18.75 120
126.44 47.25 6.75 2300 21.23 200
67.27 47.25 7.25 2500 0.53 200
59.44 47.25 7.32 2500 1.33 200
31.42 47.25 7.73 3000 3.67 203
16.47 47.25 8.25 3000 6.83 200
6.96 47.25 9.25 3000 14.07 231
4.44 47.25 9.73 3000 16.52 210
1.54 47.25 10.23 3000 19.23 212
12.15 46.75 8.25 4000 3.45 221
0.95 46.75 7.75 4000 5.87 204
21.64 46.75 7.23 4000 8.6 200
33.61 46.75 6.73 2000 11.22 230
17.88 46.75 6.25 2000 13.73 205
5.02 46.75 6.18 2000 14.5 205
31.37 46.75 5.78 2000 16.68 200
49.77 46.75 5.73 2000 17.42 210
79.99 46.75 5.22 1000 19.93 200
31.65 46.75 5.12 800 21.02 195
5.77 46.75 4.77 163 23.23 140
4.05 46.75 4.72 158 23.97 140
4.85 46.75 4.3 138 2.37 64
5.01 46.75 4.27 142 2.73 57
3.44 46.75 3.78 128 4.95 75
4.1 46.75 3.75 124 5.38 71
2.04 46.25 3.25 123 22.13 100
0.98 46.25 3.72 133 0.97 100
23.09 46.25 4.22 205 4.35 157
20.71 46.25 4.28 237 5.13 155
5.03 47.23 4.25 114 22.15 80
2.34 47.25 3.72 100 0.53 80
