Density smack.lat smack.long smack.depth Temperature D200
0 45.12 2.07 104 11.25 8.4
0 45.12 1.98 100 11.75 2.7
0 45.12 1.92 95 12.25 5
0 45.12 1.78 79 16.18 1.8
0 45.12 1.7 71 16.83 -3.4
46.74 45.12 1.57 60 17.77 6.7
0 45.12 1.48 52 18.42 -6.8
0 45.12 1.42 40 18.83 -9
0 45.12 1.35 31 19.33 -12.1
0 45.12 1.28 26 19.92 -12.7
0 45.18 1.28 27 20.42 14
0 45.25 1.28 27 21.17 -13.5
0 45.3 1.28 29 21.75 -14.2
0 45.37 1.28 29 22.33 -15.9
0 45.37 1.37 35 22.9 16.4
0 45.37 1.42 41 23.42 -12.8
0 45.37 1.48 46 0.08 -10
0 45.37 1.57 51 0.7 -6.8
0 45.37 1.63 51 1.25 -5
0 45.37 1.72 56 1.92 -4.9
0 45.37 1.78 66 2.5 -1.5
0 45.37 1.85 74 3 3.6
0 45.37 1.92 78 3.53 -5.6
25.27 45.37 1.98 82 4 -1.6
0 45.37 2.07 92 4.57 3.9
0 45.37 2.13 97 5.08 -5.2
0 45.37 2.2 103 5.73 2.8
0 45.52 2.28 102 10.5 5.3
0 45.62 2.28 99 11.58 -8.8
0 45.62 2.2 92 12.2 8.7
24.56 45.62 2.12 83 12.67 10.9
89.82 45.62 2.07 79 13.17 13.5
0 45.43 1.35 31 22.03 14.3
93.04 45.3 1.35 34 0.75 16.1
0 45.23 1.35 33 1.25 18.5
0 45.23 1.42 41 1.87 20.1
23.3 45.23 1.48 50 2.37 24.9
0 45.25 1.57 57 2.82 28.2
46.38 45.23 1.63 63 3.23 34
51.3 45.25 1.7 68 3.68 38.1
61.56 45.25 1.78 74 4.23 41.4
0 45.25 1.85 77 4.82 44.9
0 45.23 1.92 84 5.4 48.5
0 45.25 1.98 90 5.92 50.4
24.24 45.25 2.13 105 6.67 52.5
0 45.37 2.28 108 8.25 54.2
0 45.37 2.35 108 8.67 56.7
22.65 45.37 2.48 112 9.58 52.9
0 45.37 2.63 120 10.5 50.8
0 45.37 2.7 124 11 48.1
0 45.37 2.77 133 14.6 44.7
21.31 45.37 2.85 130 15.28 42.1
23.02 45.37 2.92 139 15.72 39.1
0 45.37 2.98 136 16.32 37.1
20.47 45.37 3.05 147 16.75 35.4
107.79 45.37 3.13 158 17.22 33.6
0 45.37 3.2 178 17.67 31.7
0 45.37 3.27 592 18.17 29.8
196.28 45.37 3.35 941 18.62 27.8
47.25 45.37 3.42 2570 19.5 25.9
0 45.37 3.48 3200 20.17 31.5
0 45.37 3.55 3527 20.67 36.7
0 45.37 3.62 3611 21.08 39.2
0 45.37 3.7 3723 21.5 41.6
0 45.37 3.83 3691 22.2 42.9
0 45.37 3.98 3960 22.9 45.3
49.59 45.52 4.12 3789 0.37 47
112.71 45.62 4.27 3964 1.48 48.7
22.09 45.62 4.2 4015 2.27 50.6
20.62 45.62 4.13 3498 2.7 52.3
45.7 45.62 4.05 2602 3.15 54.5
0 45.62 3.98 2183 3.67 56.6
0 45.62 3.92 1879 5.02 69.7
21.21 45.62 3.85 2354 5.47 68
23.48 45.62 3.78 1794 5.92 66.1
21.81 45.62 3.7 2101 6.42 63.9
40.89 45.62 3.63 1294 6.8 62.3
25.45 45.62 3.55 1144 7.25 60.3
0 45.62 3.48 419 13.92 58.6
0 45.62 3.42 169 14.33 62.2
0 45.62 3.35 148 14.88 64.8
21.82 45.62 3.27 136 15.6 68.2
18.89 45.62 3.2 135 16 71.7
0 45.62 3.13 139 16.5 73.7
18.53 45.62 3.07 133 16.88 75.5
0 45.62 2.98 133 17.42 77.8
22.15 45.62 2.92 125 17.95 79.7
0 45.62 2.77 121 18.92 81.3
0 45.62 2.7 121 19.33 76
0 45.62 2.63 117 19.9 71.6
0 45.62 2.57 114 20.4 66.1
0 45.62 2.48 112 20.83 62.6
0 45.62 2.42 106 21.27 60
0 45.48 2.2 90 23 53.3
0 45.52 2.07 82 23.83 51.6
21.28 45.87 2.07 73 17.33 56.4
0 45.87 2.13 77 17.82 51
117.62 45.87 2.2 79 18.58 48.6
148.56 45.87 2.28 84 19.03 45.4
0 45.87 2.35 91 19.5 42.4
0 45.87 2.42 98 20.17 39.5
0 45.87 2.48 98 20.67 36.2
0 45.87 2.57 101 21 34.1
0 45.87 2.7 106 21.93 31.1
0 45.87 2.85 114 22.67 29
19.92 45.87 2.98 120 23.5 26.4
0 45.87 3.13 123 0.25 25.6
0 45.87 3.28 135 1 22
0 45.87 3.35 138 1.58 24.2
0 45.87 3.42 138 2.08 21.8
0 45.87 3.48 139 2.62 18.3
0 45.87 3.57 137 3.17 18.2
19.2 45.87 3.63 151 3.82 16.9
20.25 45.87 3.7 180 4.28 -16.5
0 45.87 3.78 175 4.93 15.5
19.9 45.87 3.85 934 5.43 14
20.42 45.87 3.92 598 5.85 13.1
19.49 45.87 3.98 1003 6.42 11
19.42 45.87 4.07 1972 6.83 7.1
0 45.87 4.13 2443 7.25 3.3
0 45.87 4.2 2323 7.83 -2.1
61.33 45.87 4.28 3024 8.33 -6.4
0 45.87 4.35 3463 9.08 -8.5
0 45.87 4.42 4097 9.5 -10.8
0 45.87 4.57 4142 10.25 -13.9
0 45.87 4.63 3640 11.07 -15.9
0 46.02 4.8 3496 12.17 -19.1
19.44 46.12 4.95 3883 13.42 -24.3
0 46.12 4.88 2765 14.17 -30.8
0 46.12 4.73 2254 15 -27.7
21.32 46.12 4.58 2208 15.72 -27.2
42.66 46.12 4.52 3518 16.15 -26.1
0 46.12 4.45 1581 16.62 -24.3
377.91 46.12 4.37 1346 17.02 -20.6
150.1 46.12 4.3 1698 17.75 -17.9
115.09 46.12 4.23 1200 18.27 -15.8
17.18 46.12 4.15 1220 18.65 -14.6
0 46.12 4.08 189 3.83 -11.6
18.16 46.12 4.02 154 4.27 -9
0 46.12 3.93 151 4.7 -5.4
0 46.12 3.87 148 5.25 2.7
124.29 46.12 3.8 152 5.63 -2.2
0 46.12 3.72 147 6.17 3.6
0 46.12 3.65 141 6.62 7.3
0 46.12 3.58 138 7.23 9.1
0 46.12 3.48 137 7.83 12
0 46.12 3.43 133 8.33 15.3
0 46.12 3.37 133 8.77 18.9
0 46.12 3.28 128 9.33 23.1
0 46.12 3.15 121 10.13 26
0 46.12 2.98 117 10.97 31.2
0 46.12 2.92 111 11.42 31.7
0 46.12 2.72 102 12.55 32.4
0 46.12 2.57 94 13.35 -32.8
0 46.12 2.48 84 13.82 33.1
0 46.08 2.42 71 14.33 33.9
0 46.08 2.35 64 16.83 32.4
36.63 46.08 2.28 51 15.38 37.6
41.25 46.12 2.22 56 16.05 40
0 46.12 2.13 58 16.5 41.5
0 46.12 2.07 54 16.93 43.4
0 46.37 2.07 36 7.33 45.2
0 46.37 2.22 41 8.25 46.9
0 46.37 2.35 54 9.08 49.4
0 46.37 2.48 67 10.08 51.1
0 46.37 2.57 73 13 58.1
0 46.37 2.63 83 13.5 61.7
0 46.37 2.72 83 14 60
0 46.37 2.87 100 14.82 57.6
0 46.37 2.98 108 15.57 55.9
0 46.37 3.15 113 16.47 54.2
0 46.37 3.22 117 16.9 52.3
0 46.37 3.28 119 17.67 56.2
0 46.37 3.37 119 18.28 54.2
0 46.37 3.43 124 22.25 52.4
19.76 46.37 3.52 124 22.75 50.5
0 46.37 3.58 127 23.25 49.4
0 46.37 3.65 133 23.87 48.5
0 46.37 3.73 136 0.35 48
0 46.37 3.8 138 0.8 -47.8
0 46.37 3.87 139 1.25 45.3
0 46.37 3.95 139 1.72 37.8
0 46.37 4.02 141 2.17 31.6
0 46.37 4.08 145 2.88 26
0 46.37 4.17 148 3.35 20.2
0 46.37 4.23 154 8.17 17.4
0 46.37 4.3 151 8.5 14.9
0 46.37 4.38 153 9.25 11.9
18.01 46.37 4.45 166 9.67 8.2
19.42 46.37 4.53 360 10.03 6.6
95.09 46.37 4.6 690 10.47 6.3
220.08 46.37 4.67 914 11.15 1.4
233.61 46.37 4.73 1317 11.57 -2.9
0 46.37 4.82 1330 11.93 -6.8
0 46.37 4.88 1699 12.42 -7.2
0 46.37 4.95 2198 12.82 -9.4
0 46.37 5.03 2402 13.27 -10.6
0 46.37 5.1 2580 13.72 -11.7
0 46.37 5.17 2866 14.13 -14.6
0 46.37 5.25 3291 14.57 -17.6
0 46.37 5.32 3370 15 -21
294.27 46.52 5.47 3198 16.53 -28.3
19.14 46.62 5.62 3793 17.88 -30.9
22.29 46.62 5.55 3225 18.77 -25.9
149.86 46.62 5.47 2776 19.32 -24.4
272.9 46.62 5.4 2523 19.72 -24
40.06 46.62 5.33 2867 20.17 -18.6
0 46.62 5.25 1721 20.72 -15.6
111.7 46.62 5.18 1985 21.27 15.8
82.62 46.62 5.1 1841 21.73 -13.8
35.3 46.62 5.03 1152 22.15 -9.4
198.1 46.62 4.97 667 22.63 -6.4
0 46.62 4.67 158 2.67 -4.9
15.79 46.62 4.88 388 6.33 -4
318.36 46.62 4.82 271 6.73 2.1
0 46.62 4.73 189 7.5 3.3
37.12 46.62 4.6 154 8.25 7.6
0 46.62 4.53 150 8.68 9.8
0 46.62 4.45 145 9.08 12.6
37.37 46.62 4.38 145 9.5 16.5
0 46.62 4.32 143 10 18.2
0 46.62 4.23 144 10.5 20.5
0 46.62 4.17 141 11 23.8
0 46.62 4.1 138 11.55 25.2
0 46.62 4.02 136 12.02 27.4
22.64 46.62 3.95 135 12.53 30.8
0 46.62 3.88 132 13.02 36.6
0 46.62 3.8 127 13.47 43.1
0 46.62 3.73 121 13.92 45.7
0 46.62 3.67 125 14.45 53.6
0 46.62 3.58 120 15.1 60.4
0 46.62 3.52 113 15.77 62.9
0 46.62 3.45 117 16.28 61.4
0 46.62 3.37 118 16.83 62
0 46.62 3.3 115 17.33 63
0 46.62 3.22 108 17.83 66
0 46.62 3.15 108 18.47 67.8
0 46.62 3.08 102 18.93 69.4
0 46.62 2.98 100 19.47 66.6
0 46.63 2.93 92 19.9 68.8
0 46.62 2.87 86 20.6 72
0 46.62 2.78 81 21.17 74.2
0 46.62 2.65 68 21.98 76
0 46.62 2.57 61 22.57 83.2
0 46.62 2.48 58 23.05 84
0 46.62 2.42 51 23.55 87.2
0 46.75 2.48 39 0.85 86.8
0 46.87 2.48 27 1.82 85.1
0 46.87 2.65 44 2.7 83.2
0 46.87 2.72 51 3.45 80.4
0 46.87 2.8 53 4 78.8
0 46.87 2.87 57 4.62 74.1
0 46.87 2.93 50 5.42 70.6
0 44.37 2.97 1420 17.28 68
0 44.37 2.9 1427 18.18 64.9
0 44.37 2.83 1467 18.58 59.1
0 44.37 2.68 1383 19.47 54.2
0 44.37 2.62 1349 19.82 47.3
0 44.37 2.55 1348 20.23 44.9
0 44.37 2.48 1328 20.65 42.7
0 44.37 2.42 1492 21.05 40.3
0 44.62 2.42 1735 23.03 37.9
0 44.62 2.48 2080 23.55 34.5
0 44.62 2.62 2634 0.42 30.8
0 44.62 2.77 2280 1 27.2
0 44.62 2.9 2262 2 22.9
0 45.48 4.33 4173 9.45 19.6
0 45.58 4.35 3943 10.35 16.7
0 45.62 4.42 4102 10.87 13.9
0 45.62 4.48 4231 11.22 12.7
0 45.62 4.63 4360 11.85 -12.6
0 45.62 4.77 4390 12.53 10.8
0 45.62 4.83 4414 13.03 7.3
0 44.57 4.65 4342 8.23 3.9
0 44.57 4.48 4334 9.68 -3.5
0 44.57 4.3 4286 10.9 -6.7
18.26 44.02 2.87 1438 19.33 1.9
90.16 44.02 2.07 166 8.78 -2.3
62.93 44.02 2.13 460 9.42 -5.1
0 44.02 2.27 810 10.53 -6.7
23 44.02 2.35 887 11 9.5
0 44.02 2.42 946 11.42 -9
0 44.02 2.48 1012 12 -10.1
0 44.12 2.48 1011 13.27 -13.2
0 44.12 2.33 969 14.67 -16.4
0 44.12 2.27 929 15.18 -19.9
36.35 44.12 2.2 847 15.75 -24.5
0 44.12 2.13 704 16.27 -27.9
19.3 44.12 2.07 266 16.9 -23.5
58.71 44.37 2.07 181 5.67 -25.2
19.16 44.37 2.13 467 6.25 -22.7
0 44.37 2.2 696 7.17 -19.2
0 44.37 2.35 1012 8.08 -16.4
0 44.62 2.35 1335 10.83 -14.1
0 44.62 2.27 922 16.42 -12.5
0 44.62 2.18 606 17.17 12.5
0 44.62 2.13 539 17.68 -10.4
42.46 44.62 2.07 883 18.33 -9.3
21.26 44.87 2.07 135 8.58 -6.7
0 44.88 2.13 147 9.25 -9.9
0 44.87 2.2 268 9.75 -2.1
19.81 44.87 2.27 783 10.25 2.8
0 44.87 2.35 1892 10.75 7.6
0 44.87 2.42 2034 11.58 10.5
0 44.87 2.48 2580 12.08 12.5
0 44.87 2.55 2709 12.58 15.9
0 44.87 2.62 2681 13.33 -17.8
0 44.87 2.7 2879 13.92 17.8
0 44.87 2.77 2852 14.4 19
0 44.87 2.83 3158 14.95 20.7
0 44.87 2.9 2943 15.6 23.1
0 44.87 2.97 3097 16.1 26.6
0 44.98 3.12 2249 17.75 28.2
0 45.12 3.27 1202 19 29.3
0 45.12 3.2 964 23.62 31.4
0 45.12 3.13 161 0.25 33.5
0 45.12 3.05 1039 0.78 35.9
21.96 45.12 2.98 242 1.28 39.3
41.69 45.12 2.92 1159 1.83 42.3
0 45.12 2.85 155 2.33 45.4
93.63 45.12 2.77 156 3.08 49.5
0 45.12 2.7 306 3.62 52.9
22.3 45.12 2.63 126 4.12 57.2
0 45.12 2.55 127 4.68 59.6
0 45.12 2.48 125 5.2 61.8
0 45.12 2.42 126 5.72 65.2
0 45.12 2.35 120 9.08 67.9
0 45.12 2.27 120 9.42 69.8
22.12 45.12 2.2 116 10.22 73.2
0 45.12 2.13 111 10.67 79
0 45.12 2.07 104 11.25 82.2
0 45.12 1.98 100 11.75 85.3
0 45.12 1.92 95 12.25 87.8
0 45.12 1.78 79 16.18 91.5
0 45.12 1.7 71 16.83 96.6
46.74 45.12 1.57 60 17.77 89.6
0 45.12 1.48 52 18.42 87
0 45.12 1.42 40 18.83 83.8
0 45.12 1.35 31 19.33 81.5
0 45.12 1.28 26 19.92 79.2
0 45.18 1.28 27 20.42 -45.2
0 45.25 1.28 27 21.17 -44.3
0 45.3 1.28 29 21.75 -43.7
0 45.37 1.28 29 22.33 -38.5
0 45.37 1.37 35 22.9 -34.5
0 45.37 1.42 41 23.42 -30.5
0 45.37 1.48 46 0.08 -26.5
0 45.37 1.57 51 0.7 -22.6
0 45.37 1.63 51 1.25 -20.5
0 45.37 1.72 56 1.92 -22.4
0 45.37 1.78 66 2.5 -25.8
0 45.37 1.85 74 3 -28.5
0 45.37 1.92 78 3.53 -29.7
25.27 45.37 1.98 82 4 -36
0 45.37 2.07 92 4.57 -31
0 45.37 2.13 97 5.08 -31.3
0 45.37 2.2 103 5.73 -33.8
0 45.52 2.28 102 10.5 -40.3
0 45.62 2.28 99 11.58 -46.7
0 45.62 2.2 92 12.2 -48.4
